Industry,Country,Year,Attack_Type,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD
Healthcare,United States,,Ransomware,"PII,PHI,Financial",998706.28,12500,15.0,99.9616,45,,,,
Financial,United Kingdom,,Data_Breach,"Financial,PII",890000.0,45000,34.5,89.0,21,,,,
Education,Canada,,Ransomware,"PII,Academic_Records",567000.0,3400,2.1,34.5,18,,,,
Retail,Australia,,Payment_Fraud,"Payment_Cards,PII",998706.28,23000,8.9,67.8,8,,,,
Technology,Germany,,Insider_Threat,"IP,Customer_Data",45000.0,2300,3.2,12.3,5,,,,
Manufacturing,Japan,,Industrial_Espionage,"Trade_Secrets,Designs",3213.8,15600,12.5,99.9616,90,,,,
Technology,United States,,Data_Exposure,"PII,Business_Data",998706.28,2300,6.7,99.9616,12,,,,
Healthcare,Switzerland,,Supply_Chain,"PHI,Device_Data",890000.0,8900,23.4,78.9,65,,,,
Technology,Ireland,,Account_Takeover,"PII,Messages",998706.28,15000,34.5,99.9616,30,,,,
Energy,United States,,OT_Attack,"SCADA_Data,Grid_Info",3213.8,12000,34.5,99.9616,120,,,,
Legal,United States,,Email_Compromise,"Legal_Documents,PII",125000.0,2300,2.1,23.4,14,,,,
Transportation,France,,Passenger_Data,"PII,Travel_Data",998706.28,34000,18.9,99.9616,25,,,,
Financial,Singapore,,Wallet_Hack,Cryptocurrency,3213.8,2300,12.3,99.9616,180,,,,
Hospitality,Spain,,POS_Malware,"Payment_Cards,PII",890000.0,18900,3.4,67.8,35,,,,
Pharmaceutical,United States,,Research_Theft,"Research_Data,IP",3213.8,23400,34.5,99.9616,60,,,,
Government,Netherlands,,IoT_Breach,"Citizen_Data,Sensor_Data",456000.0,2300,8.9,78.9,45,,,,
Entertainment,South Korea,,Gaming_Hack,"Gaming_Data,PII",998706.28,2300,2.1,89.7,28,,,,
Insurance,United States,,Claims_Fraud,"PII,Claims_Data",998706.28,15600,23.4,99.9616,40,,,,
Telecommunications,Brazil,,Network_Breach,"Call_Records,PII",998706.28,45000,34.5,99.9616,75,,,,
Technology,India,,App_Vulnerability,"Location_Data,PII",998706.28,4500,2.1,67.9,18,,,,
Automotive,Germany,,Connected_Car,"Vehicle_Data,Location",890000.0,34000,34.5,99.9616,90,,,,
Real Estate,United States,,Property_Fraud,"Financial,Property_Data",345000.0,2300,2.1,34.5,25,,,,
Entertainment,United States,,Content_Piracy,"Content,Subscriber_Data",3213.8,8900,23.4,99.9616,120,,,,
Agriculture,Australia,,Precision_Ag,"Farm_Data,GPS_Coordinates",125000.0,2300,2.1,12.3,14,,,,
Financial,United Kingdom,,API_Abuse,"Financial,Transaction_Data",567000.0,2300,8.9,78.9,21,,,,
Education,China,2019.0,Phishing,pii_customer,773169.0,3400,2.1,80.53,63,4.0,3.376,100.0,80.53
Retail,China,2019.0,Ransomware,pii_customer,295961.0,23000,8.9,62.19,71,4.0,3.798,100.0,62.19
IT,India,2017.0,Man-in-the-Middle,pii_customer,605895.0,8900,12.3,38.65,20,2.0,4.22,100.0,38.65
Telecommunications,UK,2024.0,Ransomware,pii_customer,659320.0,45000,34.5,41.44,7,1.0,4.22,100.0,41.44
IT,Germany,2018.0,Man-in-the-Middle,pii_customer,810682.0,8900,12.3,74.41,68,4.0,4.22,100.0,74.41
Retail,Germany,2017.0,Man-in-the-Middle,pii_customer,285201.0,23000,8.9,98.24,25,2.0,3.798,100.0,98.24
Telecommunications,Germany,2016.0,DDoS,pii_customer,431262.0,45000,34.5,33.26,34,3.0,4.22,100.0,33.26
Government,France,2018.0,SQL Injection,pii_customer,909991.0,2300,8.9,59.23,66,4.0,4.22,100.0,59.23
Banking,India,2016.0,Man-in-the-Middle,pii_customer,698249.0,8900,12.3,16.88,47,4.0,4.22,100.0,16.88
Healthcare,UK,2023.0,DDoS,pii_customer,685927.0,10700,19.2,69.14,58,4.0,8.44,100.0,69.14
Telecommunications,China,2019.0,Phishing,pii_customer,493675.0,45000,34.5,88.67,29,3.0,4.22,100.0,88.67
Healthcare,China,2016.0,SQL Injection,pii_customer,920768.0,10700,19.2,38.81,27,3.0,8.44,100.0,38.81
Education,India,2019.0,Ransomware,pii_customer,583204.0,3400,2.1,30.56,37,3.0,3.376,100.0,30.56
Healthcare,France,2023.0,DDoS,pii_customer,599797.0,10700,19.2,58.37,35,3.0,8.44,100.0,58.37
IT,France,2024.0,DDoS,pii_customer,922258.0,8900,12.3,48.01,64,4.0,4.22,100.0,48.01
Banking,Australia,2022.0,Phishing,pii_customer,120789.0,8900,12.3,64.31,36,3.0,4.22,100.0,64.31
Healthcare,Russia,2017.0,Man-in-the-Middle,pii_customer,850158.0,10700,19.2,13.04,67,4.0,8.44,100.0,13.04
IT,India,2015.0,DDoS,pii_customer,805278.0,8900,12.3,93.14,56,4.0,4.22,100.0,93.14
Telecommunications,UK,2019.0,Malware,pii_customer,578443.0,45000,34.5,14.01,28,3.0,4.22,100.0,14.01
IT,India,2016.0,DDoS,pii_customer,261808.0,8900,12.3,36.45,6,1.0,4.22,100.0,36.45
Retail,Brazil,2015.0,Ransomware,pii_customer,920172.0,23000,8.9,49.55,43,4.0,3.798,100.0,49.55
Education,France,2023.0,Ransomware,pii_customer,261661.0,3400,2.1,17.72,11,1.0,3.376,100.0,17.72
Government,India,2017.0,DDoS,pii_customer,246205.0,2300,8.9,76.71,30,3.0,4.22,100.0,76.71
Telecommunications,Japan,2022.0,Phishing,pii_customer,186148.0,45000,34.5,20.42,32,3.0,4.22,100.0,20.42
Telecommunications,Brazil,2023.0,DDoS,pii_customer,699007.0,45000,34.5,51.84,30,3.0,4.22,100.0,51.84
Retail,China,2021.0,Phishing,pii_customer,628562.0,23000,8.9,51.06,52,4.0,3.798,100.0,51.06
Education,Japan,2022.0,Malware,pii_customer,570494.0,3400,2.1,53.04,53,4.0,3.376,100.0,53.04
Banking,Japan,2022.0,Ransomware,pii_customer,937653.0,8900,12.3,26.17,24,2.0,4.22,100.0,26.17
IT,France,2020.0,Malware,pii_customer,599757.0,8900,12.3,87.32,9,1.0,4.22,100.0,87.32
Government,Australia,2015.0,DDoS,pii_customer,904805.0,2300,8.9,82.7,61,4.0,4.22,100.0,82.7
Education,UK,2022.0,SQL Injection,pii_customer,678876.0,3400,2.1,66.24,11,1.0,3.376,100.0,66.24
Telecommunications,France,2020.0,Malware,pii_customer,246900.0,45000,34.5,18.38,34,3.0,4.22,100.0,18.38
IT,India,2015.0,SQL Injection,pii_customer,85255.0,8900,12.3,42.99,61,4.0,4.22,100.0,42.99
Banking,Japan,2022.0,Phishing,pii_customer,972469.0,8900,12.3,98.47,21,2.0,4.22,100.0,98.47
Healthcare,Brazil,2023.0,Phishing,pii_customer,113777.0,10700,19.2,14.51,27,3.0,8.44,100.0,14.51
Banking,Brazil,2020.0,Phishing,pii_customer,739540.0,8900,12.3,17.75,31,3.0,4.22,100.0,17.75
Education,China,2020.0,Man-in-the-Middle,pii_customer,722788.0,3400,2.1,19.81,70,4.0,3.376,100.0,19.81
Retail,Japan,2021.0,SQL Injection,pii_customer,214372.0,23000,8.9,82.52,12,1.0,3.798,100.0,82.52
Retail,USA,2022.0,DDoS,pii_customer,235314.0,23000,8.9,32.53,62,4.0,3.798,100.0,32.53
Education,Brazil,2016.0,DDoS,pii_customer,140812.0,3400,2.1,96.98,71,4.0,3.376,100.0,96.98
Telecommunications,Russia,2015.0,DDoS,pii_customer,238356.0,45000,34.5,96.39,3,1.0,4.22,100.0,96.39
IT,India,2021.0,SQL Injection,pii_customer,826976.0,8900,12.3,98.09,57,4.0,4.22,100.0,98.09
Retail,UK,2019.0,Man-in-the-Middle,pii_customer,757694.0,23000,8.9,39.77,69,4.0,3.798,100.0,39.77
IT,USA,2017.0,DDoS,pii_customer,403108.0,8900,12.3,74.12,64,4.0,4.22,100.0,74.12
Banking,Australia,2020.0,DDoS,pii_customer,942890.0,8900,12.3,92.95,19,2.0,4.22,100.0,92.95
Healthcare,France,2022.0,Malware,pii_customer,794906.0,10700,19.2,20.33,36,3.0,8.44,100.0,20.33
Government,Australia,2016.0,SQL Injection,pii_customer,481293.0,2300,8.9,27.33,65,4.0,4.22,100.0,27.33
Education,India,2016.0,DDoS,pii_customer,602692.0,3400,2.1,21.01,29,3.0,3.376,100.0,21.01
Retail,UK,2018.0,Man-in-the-Middle,pii_customer,455529.0,23000,8.9,13.66,40,3.0,3.798,100.0,13.66
Telecommunications,Japan,2017.0,Phishing,pii_customer,383395.0,45000,34.5,75.84,31,3.0,4.22,100.0,75.84
Retail,USA,2023.0,DDoS,pii_customer,113612.0,23000,8.9,59.69,70,4.0,3.798,100.0,59.69
Government,Australia,2019.0,Malware,pii_customer,984411.0,2300,8.9,21.72,17,1.0,4.22,100.0,21.72
IT,UK,2015.0,Phishing,pii_customer,17229.0,8900,12.3,85.58,30,3.0,4.22,100.0,85.58
Healthcare,France,2018.0,Phishing,pii_customer,581303.0,10700,19.2,75.11,51,4.0,8.44,100.0,75.11
Education,India,2019.0,Man-in-the-Middle,pii_customer,799474.0,3400,2.1,10.8,23,2.0,3.376,100.0,10.8
Banking,India,2020.0,DDoS,pii_customer,898655.0,8900,12.3,86.27,10,1.0,4.22,100.0,86.27
Healthcare,UK,2021.0,Malware,pii_customer,698852.0,10700,19.2,67.1,57,4.0,8.44,100.0,67.1
Healthcare,India,2018.0,DDoS,pii_customer,304162.0,10700,19.2,76.43,56,4.0,8.44,100.0,76.43
