Industry,Country,Year,Attack_Type,Canonical_Attack_Vector,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source,PerRecord_Source,Source_Tag
Healthcare,United States,,Ransomware,phishing,"PII,PHI,Financial",2400000,12500,15.0,125.0,45,,,,,,,RICH
Financial,United Kingdom,,Data_Breach,unknown,"Financial,PII",890000,45000,45.0,89.0,21,,,,,,,RICH
Education,Canada,,Ransomware,unknown,"PII,Academic_Records",567000,3400,2.1,34.5,18,,,,,,,RICH
Retail,Australia,,Payment_Fraud,unknown,"Payment_Cards,PII",1200000,23000,8.9,67.8,8,,,,,,,RICH
Technology,Germany,,Insider_Threat,unknown,"IP,Customer_Data",45000,890,3.2,12.3,5,,,,,,,RICH
Manufacturing,Japan,,Industrial_Espionage,unknown,"Trade_Secrets,Designs",0,15600,12.5,234.5,90,,,,,,,RICH
Technology,United States,,Data_Exposure,misconfiguration,"PII,Business_Data",3400000,2300,6.7,156.7,12,,,,,,,RICH
Healthcare,Switzerland,,Supply_Chain,unknown,"PHI,Device_Data",890000,8900,23.4,78.9,65,,,,,,,RICH
Technology,Ireland,,Account_Takeover,unknown,"PII,Messages",12000000,15000,67.8,445.6,30,,,,,,,RICH
Energy,United States,,OT_Attack,unknown,"SCADA_Data,Grid_Info",0,12000,34.5,567.8,120,,,,,,,RICH
Legal,United States,,Email_Compromise,unknown,"Legal_Documents,PII",125000,450,1.2,23.4,14,,,,,,,RICH
Transportation,France,,Passenger_Data,unknown,"PII,Travel_Data",2100000,34000,18.9,123.4,25,,,,,,,RICH
Financial,Singapore,,Wallet_Hack,unknown,Cryptocurrency,0,560,12.3,456.7,180,,,,,,,RICH
Hospitality,Spain,,POS_Malware,malware,"Payment_Cards,PII",890000,18900,3.4,67.8,35,,,,,,,RICH
Pharmaceutical,United States,,Research_Theft,phishing,"Research_Data,IP",0,23400,45.6,234.5,60,,,,,,,RICH
Government,Netherlands,,IoT_Breach,unknown,"Citizen_Data,Sensor_Data",456000,2300,8.9,78.9,45,,,,,,,RICH
Entertainment,South Korea,,Gaming_Hack,unknown,"Gaming_Data,PII",3400000,890,2.1,89.7,28,,,,,,,RICH
Insurance,United States,,Claims_Fraud,unknown,"PII,Claims_Data",1200000,15600,23.4,156.8,40,,,,,,,RICH
Telecommunications,Brazil,,Network_Breach,unknown,"Call_Records,PII",5600000,45000,34.5,345.6,75,,,,,,,RICH
Technology,India,,App_Vulnerability,unknown,"Location_Data,PII",2300000,4500,1.8,67.9,18,,,,,,,RICH
Automotive,Germany,,Connected_Car,unknown,"Vehicle_Data,Location",890000,34000,45.7,234.6,90,,,,,,,RICH
Real Estate,United States,,Property_Fraud,unknown,"Financial,Property_Data",345000,1200,0.8,34.5,25,,,,,,,RICH
Entertainment,United States,,Content_Piracy,unknown,"Content,Subscriber_Data",0,8900,23.4,456.7,120,,,,,,,RICH
Agriculture,Australia,,Precision_Ag,unknown,"Farm_Data,GPS_Coordinates",125000,340,1.2,12.3,14,,,,,,,RICH
Financial,United Kingdom,,API_Abuse,unknown,"Financial,Transaction_Data",567000,1200,8.9,78.9,21,,,,,,,RICH
Education,China,2019,Phishing,vulnerability exploit,pii_customer,773169,3400,2.1,80.53,63,4,3.376,100.0,80.53,IBM_Global×Multiplier,,LEAN
Retail,China,2019,Ransomware,vulnerability exploit,pii_customer,295961,23000,8.9,62.19,71,4,3.798,100.0,62.19,IBM_Global×Multiplier,,LEAN
IT,India,2017,Man-in-the-Middle,unknown,pii_customer,605895,8900,12.3,38.65,20,2,4.22,100.0,38.65,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2024,Ransomware,unknown,pii_customer,659320,45000,34.5,41.44,7,1,4.22,100.0,41.44,IBM_Global×Multiplier,,LEAN
IT,Germany,2018,Man-in-the-Middle,unknown,pii_customer,810682,8900,12.3,74.41,68,4,4.22,100.0,74.41,IBM_Global×Multiplier,,LEAN
Retail,Germany,2017,Man-in-the-Middle,unknown,pii_customer,285201,23000,8.9,98.24,25,2,3.798,100.0,98.24,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2016,DDoS,vulnerability exploit,pii_customer,431262,45000,34.5,33.26,34,3,4.22,100.0,33.26,IBM_Global×Multiplier,,LEAN
Government,France,2018,SQL Injection,unknown,pii_customer,909991,2300,8.9,59.23,66,4,4.22,100.0,59.23,IBM_Global×Multiplier,,LEAN
Banking,India,2016,Man-in-the-Middle,unknown,pii_customer,698249,8900,12.3,16.88,47,4,4.22,100.0,16.88,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2023,DDoS,vulnerability exploit,pii_customer,685927,10700,19.2,69.14,58,4,8.44,100.0,69.14,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2019,Phishing,unknown,pii_customer,493675,45000,34.5,88.67,29,3,4.22,100.0,88.67,IBM_Global×Multiplier,,LEAN
Healthcare,China,2016,SQL Injection,vulnerability exploit,pii_customer,920768,10700,19.2,38.81,27,3,8.44,100.0,38.81,IBM_Global×Multiplier,,LEAN
Education,India,2019,Ransomware,unknown,pii_customer,583204,3400,2.1,30.56,37,3,3.376,100.0,30.56,IBM_Global×Multiplier,,LEAN
Healthcare,France,2023,DDoS,vulnerability exploit,pii_customer,599797,10700,19.2,58.37,35,3,8.44,100.0,58.37,IBM_Global×Multiplier,,LEAN
IT,France,2024,DDoS,unknown,pii_customer,922258,8900,12.3,48.01,64,4,4.22,100.0,48.01,IBM_Global×Multiplier,,LEAN
Banking,Australia,2022,Phishing,unknown,pii_customer,120789,8900,12.3,64.31,36,3,4.22,100.0,64.31,IBM_Global×Multiplier,,LEAN
Healthcare,Russia,2017,Man-in-the-Middle,vulnerability exploit,pii_customer,850158,10700,19.2,13.04,67,4,8.44,100.0,13.04,IBM_Global×Multiplier,,LEAN
IT,India,2015,DDoS,unknown,pii_customer,805278,8900,12.3,93.14,56,4,4.22,100.0,93.14,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2019,Malware,unknown,pii_customer,578443,45000,34.5,14.01,28,3,4.22,100.0,14.01,IBM_Global×Multiplier,,LEAN
IT,India,2016,DDoS,unknown,pii_customer,261808,8900,12.3,36.45,6,1,4.22,100.0,36.45,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2015,Ransomware,unknown,pii_customer,920172,23000,8.9,49.55,43,4,3.798,100.0,49.55,IBM_Global×Multiplier,,LEAN
Education,France,2023,Ransomware,unknown,pii_customer,261661,3400,2.1,17.72,11,1,3.376,100.0,17.72,IBM_Global×Multiplier,,LEAN
Government,India,2017,DDoS,vulnerability exploit,pii_customer,246205,2300,8.9,76.71,30,3,4.22,100.0,76.71,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2022,Phishing,unknown,pii_customer,186148,45000,34.5,20.42,32,3,4.22,100.0,20.42,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2023,DDoS,unknown,pii_customer,699007,45000,34.5,51.84,30,3,4.22,100.0,51.84,IBM_Global×Multiplier,,LEAN
Retail,China,2021,Phishing,unknown,pii_customer,628562,23000,8.9,51.06,52,4,3.798,100.0,51.06,IBM_Global×Multiplier,,LEAN
Education,Japan,2022,Malware,vulnerability exploit,pii_customer,570494,3400,2.1,53.04,53,4,3.376,100.0,53.04,IBM_Global×Multiplier,,LEAN
Banking,Japan,2022,Ransomware,vulnerability exploit,pii_customer,937653,8900,12.3,26.17,24,2,4.22,100.0,26.17,IBM_Global×Multiplier,,LEAN
IT,France,2020,Malware,unknown,pii_customer,599757,8900,12.3,87.32,9,1,4.22,100.0,87.32,IBM_Global×Multiplier,,LEAN
Government,Australia,2015,DDoS,unknown,pii_customer,904805,2300,8.9,82.7,61,4,4.22,100.0,82.7,IBM_Global×Multiplier,,LEAN
Education,UK,2022,SQL Injection,unknown,pii_customer,678876,3400,2.1,66.24,11,1,3.376,100.0,66.24,IBM_Global×Multiplier,,LEAN
Telecommunications,France,2020,Malware,unknown,pii_customer,246900,45000,34.5,18.38,34,3,4.22,100.0,18.38,IBM_Global×Multiplier,,LEAN
IT,India,2015,SQL Injection,vulnerability exploit,pii_customer,85255,8900,12.3,42.99,61,4,4.22,100.0,42.99,IBM_Global×Multiplier,,LEAN
Banking,Japan,2022,Phishing,unknown,pii_customer,972469,8900,12.3,98.47,21,2,4.22,100.0,98.47,IBM_Global×Multiplier,,LEAN
Healthcare,Brazil,2023,Phishing,unknown,pii_customer,113777,10700,19.2,14.51,27,3,8.44,100.0,14.51,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2020,Phishing,unknown,pii_customer,739540,8900,12.3,17.75,31,3,4.22,100.0,17.75,IBM_Global×Multiplier,,LEAN
Education,China,2020,Man-in-the-Middle,unknown,pii_customer,722788,3400,2.1,19.81,70,4,3.376,100.0,19.81,IBM_Global×Multiplier,,LEAN
Retail,Japan,2021,SQL Injection,vulnerability exploit,pii_customer,214372,23000,8.9,82.52,12,1,3.798,100.0,82.52,IBM_Global×Multiplier,,LEAN
Retail,USA,2022,DDoS,unknown,pii_customer,235314,23000,8.9,32.53,62,4,3.798,100.0,32.53,IBM_Global×Multiplier,,LEAN
Education,Brazil,2016,DDoS,vulnerability exploit,pii_customer,140812,3400,2.1,96.98,71,4,3.376,100.0,96.98,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2015,DDoS,unknown,pii_customer,238356,45000,34.5,96.39,3,1,4.22,100.0,96.39,IBM_Global×Multiplier,,LEAN
IT,India,2021,SQL Injection,unknown,pii_customer,826976,8900,12.3,98.09,57,4,4.22,100.0,98.09,IBM_Global×Multiplier,,LEAN
Retail,UK,2019,Man-in-the-Middle,vulnerability exploit,pii_customer,757694,23000,8.9,39.77,69,4,3.798,100.0,39.77,IBM_Global×Multiplier,,LEAN
IT,USA,2017,DDoS,unknown,pii_customer,403108,8900,12.3,74.12,64,4,4.22,100.0,74.12,IBM_Global×Multiplier,,LEAN
