Incident_ID,Date_Reported,Company_Name,Industry,Country,Attack_Type,Records_Compromised,Attack_Vector,Data_Type,Ransom_Amount_USD,Recovery_Time_Days,Financial_Impact_Million_USD,CISO_Present,Security_Budget_Million_USD,Employee_Count,Previous_Incidents,Patch_Status,MFA_Enabled,Security_Training_Hours,Incident_Severity,Attribution,Response_Time_Hours,Regulatory_Fine_Million_USD,Stock_Impact_Percent,Customer_Churn_Percent,Reputation_Score_Change,Year,Per_Record_Cost_USD,Baseline_Industry_Cost_Million_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source_x,PerRecord_Source_x,Source_Tag,Baseline_Source_y,Baseline_Source,PerRecord_Source_y,PerRecord_Source
,,,Education,China,Phishing,773169,,,,,80.53,,,,,,,,63.0,,,,,,,2019,100.31243975865726,3.8,80.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,China,Ransomware,295961,,,,,62.19,,,,,,,,71.0,,,,,,,2019,100.31243975865726,3.54,62.19,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,India,Man-in-the-Middle,605895,,,,,38.65,,,,,,,,20.0,,,,,,,2017,100.31243975865726,53.3,38.65,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,Ransomware,659320,,,,,41.44,,,,,,,,7.0,,,,,,,2024,100.31243975865726,51.230000000000004,41.44,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,Man-in-the-Middle,810682,,,,,74.41,,,,,,,,68.0,,,,,,,2018,100.31243975865726,53.3,74.41,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Germany,Man-in-the-Middle,285201,,,,,98.24,,,,,,,,25.0,,,,,,,2017,100.31243975865726,3.54,98.24,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,DDoS,431262,,,,,33.26,,,,,,,,34.0,,,,,,,2016,100.31243975865726,51.230000000000004,33.26,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,France,SQL Injection,909991,,,,,59.23,,,,,,,,66.0,,,,,,,2018,100.31243975865726,54.44,59.23,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Man-in-the-Middle,698249,,,,,16.88,,,,,,,,47.0,,,,,,,2016,100.31243975865726,50.75,16.88,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,UK,DDoS,685927,,,,,69.14,,,,,,,,58.0,,,,,,,2023,100.31243975865726,7.42,69.14,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,China,Phishing,493675,,,,,88.67,,,,,,,,29.0,,,,,,,2019,100.31243975865726,51.230000000000004,88.67,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,China,SQL Injection,920768,,,,,38.81,,,,,,,,27.0,,,,,,,2016,100.31243975865726,7.42,38.81,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,India,Ransomware,583204,,,,,30.56,,,,,,,,37.0,,,,,,,2019,100.31243975865726,3.8,30.56,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,France,DDoS,599797,,,,,58.37,,,,,,,,35.0,,,,,,,2023,100.31243975865726,7.42,58.37,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,France,DDoS,922258,,,,,48.01,,,,,,,,64.0,,,,,,,2024,100.31243975865726,53.3,48.01,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Australia,Phishing,120789,,,,,64.31,,,,,,,,36.0,,,,,,,2022,100.31243975865726,50.75,64.31,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Russia,Man-in-the-Middle,850158,,,,,13.04,,,,,,,,67.0,,,,,,,2017,100.31243975865726,7.42,13.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,India,DDoS,805278,,,,,93.14,,,,,,,,56.0,,,,,,,2015,100.31243975865726,53.3,93.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,Malware,578443,,,,,14.01,,,,,,,,28.0,,,,,,,2019,100.31243975865726,51.230000000000004,14.01,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,DDoS,261808,,,,,36.45,,,,,,,,6.0,,,,,,,2016,100.31243975865726,53.3,36.45,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Brazil,Ransomware,920172,,,,,49.55,,,,,,,,43.0,,,,,,,2015,100.31243975865726,3.54,49.55,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,France,Ransomware,261661,,,,,17.72,,,,,,,,11.0,,,,,,,2023,100.31243975865726,3.8,17.72,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,India,DDoS,246205,,,,,76.71,,,,,,,,30.0,,,,,,,2017,100.31243975865726,54.44,76.71,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Phishing,186148,,,,,20.42,,,,,,,,32.0,,,,,,,2022,100.31243975865726,51.230000000000004,20.42,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Brazil,DDoS,699007,,,,,51.84,,,,,,,,30.0,,,,,,,2023,100.31243975865726,51.230000000000004,51.84,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,China,Phishing,628562,,,,,51.06,,,,,,,,52.0,,,,,,,2021,100.31243975865726,3.54,51.06,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Japan,Malware,570494,,,,,53.04,,,,,,,,53.0,,,,,,,2022,100.31243975865726,3.8,53.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Japan,Ransomware,937653,,,,,26.17,,,,,,,,24.0,,,,,,,2022,100.31243975865726,50.75,26.17,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,France,Malware,599757,,,,,87.32,,,,,,,,9.0,,,,,,,2020,100.31243975865726,53.3,87.32,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Australia,DDoS,904805,,,,,82.7,,,,,,,,61.0,,,,,,,2015,100.31243975865726,54.44,82.7,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,UK,SQL Injection,678876,,,,,66.24,,,,,,,,11.0,,,,,,,2022,100.31243975865726,3.8,66.24,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,France,Malware,246900,,,,,18.38,,,,,,,,34.0,,,,,,,2020,100.31243975865726,51.230000000000004,18.38,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,SQL Injection,85255,,,,,42.99,,,,,,,,61.0,,,,,,,2015,100.31243975865726,53.3,42.99,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Japan,Phishing,972469,,,,,98.47,,,,,,,,21.0,,,,,,,2022,100.31243975865726,50.75,98.47,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Brazil,Phishing,113777,,,,,14.51,,,,,,,,27.0,,,,,,,2023,100.31243975865726,7.42,14.51,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Brazil,Phishing,739540,,,,,17.75,,,,,,,,31.0,,,,,,,2020,100.31243975865726,50.75,17.75,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,China,Man-in-the-Middle,722788,,,,,19.81,,,,,,,,70.0,,,,,,,2020,100.31243975865726,3.8,19.81,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Japan,SQL Injection,214372,,,,,82.52,,,,,,,,12.0,,,,,,,2021,100.31243975865726,3.54,82.52,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,USA,DDoS,235314,,,,,32.53,,,,,,,,62.0,,,,,,,2022,100.31243975865726,3.54,32.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Brazil,DDoS,140812,,,,,96.98,,,,,,,,71.0,,,,,,,2016,100.31243975865726,3.8,96.98,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Russia,DDoS,238356,,,,,96.39,,,,,,,,3.0,,,,,,,2015,100.31243975865726,51.230000000000004,96.39,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,SQL Injection,826976,,,,,98.09,,,,,,,,57.0,,,,,,,2021,100.31243975865726,53.3,98.09,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,UK,Man-in-the-Middle,757694,,,,,39.77,,,,,,,,69.0,,,,,,,2019,100.31243975865726,3.54,39.77,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,USA,DDoS,403108,,,,,74.12,,,,,,,,64.0,,,,,,,2017,100.31243975865726,53.3,74.12,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Australia,DDoS,942890,,,,,92.95,,,,,,,,19.0,,,,,,,2020,100.31243975865726,50.75,92.95,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Malware,794906,,,,,20.33,,,,,,,,36.0,,,,,,,2022,100.31243975865726,7.42,20.33,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,Australia,SQL Injection,481293,,,,,27.33,,,,,,,,65.0,,,,,,,2016,100.31243975865726,54.44,27.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,India,DDoS,602692,,,,,21.01,,,,,,,,29.0,,,,,,,2016,100.31243975865726,3.8,21.01,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,UK,Man-in-the-Middle,455529,,,,,13.66,,,,,,,,40.0,,,,,,,2018,100.31243975865726,3.54,13.66,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Phishing,383395,,,,,75.84,,,,,,,,31.0,,,,,,,2017,100.31243975865726,51.230000000000004,75.84,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,DDoS,113612,,,,,59.69,,,,,,,,70.0,,,,,,,2023,100.31243975865726,3.54,59.69,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,Australia,Malware,984411,,,,,21.72,,,,,,,,17.0,,,,,,,2019,100.31243975865726,54.44,21.72,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,UK,Phishing,17229,,,,,85.58,,,,,,,,30.0,,,,,,,2015,100.31243975865726,53.3,85.58,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Phishing,581303,,,,,75.11,,,,,,,,51.0,,,,,,,2018,100.31243975865726,7.42,75.11,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,India,Man-in-the-Middle,799474,,,,,10.8,,,,,,,,23.0,,,,,,,2019,100.31243975865726,3.8,10.8,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,India,DDoS,898655,,,,,86.27,,,,,,,,10.0,,,,,,,2020,100.31243975865726,50.75,86.27,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,UK,Malware,698852,,,,,67.1,,,,,,,,57.0,,,,,,,2021,100.31243975865726,7.42,67.1,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,India,DDoS,304162,,,,,76.43,,,,,,,,56.0,,,,,,,2018,100.31243975865726,7.42,76.43,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
