iter	RMSE
0	0.8598564731
1	0.8436231261
2	0.8314420813
3	0.8235579742
4	0.81274426595	0.799414429
6	0.7892691743
7	0.7802737715
8	0.7730006169
9	0.7652552927
10	0.7586703187
11	0.7516524913
12	0.7458474715
13	0.7406317505
14	0.7361370916
15	0.7309714857
16	0.726587965
117	0.7263304921818	0.7224003251919	0.7188974042020	0.71579102921	0.7079288487
22	0.7048614701
23	0.7023699696
24	0.6997460859
25	0.6972631769
26	0.6947595973
27	0.6927510309
28	0.6903676272229	0.6883228503030	0.6864403693131	0.6845859693232	0.6828215613333	0.6811844803434	0.6797365293535	0.6783560553636	0.6769304313737	0.6756968403838	0.6744457203939	0.6732025114040	0.672213453441	0.6711436973442	0.6700524182443	0.6689728862
44	0.6681262827445	0.6671346438446	0.6661778035447	0.6652345739448	0.6645145509449	0.6637626476550	0.6631089918551	0.6624208805552	0.6617175465
53	0.6609398203554	0.6607123849555	0.6599399609556	0.6594325537557	0.658949668
58	0.6582927662
59	0.6576118892
60	0.6569643076
61	0.6612258627
62	0.6559369613
63	0.655317064
664	0.659877199
65	0.6594853483
66	0.653924295
67	0.6533589157
68	0.6529860672
69	0.6523470881
70	0.6520231487
71	0.6515756439
72	0.6511030224
73	0.6507155866
74	0.650223975
75	0.649930515
76	0.6494925961
77	0.6491417735
78	0.6486490429
79	0.6482008551
80	0.6477721875
81	0.6474628343
82	0.6469769061
83	0.6465600669
84	0.6463287452
85	0.6458997638
86	0.6455462437
87	0.6451650403
88	0.6449684186
89	0.6445493677
90	0.6442676082
91	0.6437273938
92	0.6434161475
93	0.6429303638
94	0.642627914
95	0.6422594812
96	0.6420420083
97	0.6416261187
98	0.6413722021
99	0.6409909836
100	0.6405604217
101	0.6402410307
102	0.6399032984
103	0.6394354079
104	0.6390946654
105	0.6388347056
106	0.6386459539
107	0.6382835569
108	0.6378956158
109	0.6376944366
110	0.6373725779
111	0.6370426121
112	0.6366407324
113	0.6363489219
114	0.6360445427
115	0.6357926224
116	0.6355289084
117	0.6352385881
118	0.63496119	0.119	0.63472120	0.120	0.63444121	0121	0.6341502675
122	0.6338449821
123	0.6335208546
124	0.6332962804
125	0.632935617
126	0.6325697127	127	0.6322533894
128	0.6320159129	129	0.6316587518
130	0.6314302003
131	0.6310279207
132	0.630811119
133	0.6305031619
134	0.6302855075
135	0.629932765
136	0.6296950011
137	0.6294017333
138	0.6291692821
139	0.6288010946
140	0.6285559294
141	0.6283346401
142	0.6280732644
143	0.6278718319
144	0.6276520995
145	0.6274365834
146	0.6271560845
147	0.6268598481
148	0.6263145368
149	0.6259501328
150	0.6257687376
151	0.6254927218
152	0.6250812694
153	0.624859252
154	0.6246294416
155	0.6244728231
156	0.6241443836
157	0.6239283842
158	0.6236794225
159	0.6231847953
160	0.6228099134
161	0.62250319
162	0.6223082319
163	0.6220011632
164	0.6218037165
165	0.6216801505
166	0.621329841
167	0.6210976426
168	0.6206994014
169	0.6205314151
170	0.6201436384
171	0.6198414483
172	0.6195821586
173	0.6192722447
174	0.6189767243
175	0.6185841517
176	0.6184826567
177	0.6182097485
178	0.6178940445
179	0.6175440343
180	0.6171862455
181	0.6169882817
182	0.616822477
183	0.616574879
184	0.6162430788
185	0.6158713834
186	0.6155154566
187	0.6151987921
188	0.615040823
189	0.6148476533
190	0.6146269181
191	0.6144108838
192	0.614166045
193	0.6139342808
194	0.6137738222
195	0.6135011165
196	0.6133003199
197	0.6130918326
198	0.6127920033
199	0.6125166574
200	0.612161912
201	0.6119954594
202	0.6116675443
203	0.611206289
204	0.6108711181
205	0.610688128
206	0.6104994634
207	0.610233557
208	0.6099784768
209	0.6097321095
210	0.6094303909
211	0.609135149
212	0.6088074467
213	0.608464407
214	0.6080809801
215	0.6076559355
216	0.607251354
217	0.6068930485
218	0.6067219966
219	0.6064296319
220	0.6062193199
221	0.6059535978
222	0.6056882609
223	0.6054697989
224	0.6050928728
225	0.6048482998
226	0.6046431334
227	0.6044303094
228	0.6041482243
229	0.6039994438
230	0.6038804394
231	0.6036078096
232	0.60320260962233	0.60299144532234	0.6026155276
235	0.6023552361
236	0.6020977045
237	0.60191314052238	0.60159512512239	0.6013260439
240	0.6011566539
241	0.6009558308
242	0.60065588243243	0.60042730244244	0.6002142849
245	0.5998726112
246	0.599666305
247	0.59948149724248	0.59930465249249	0.59914553250250	0.5989655259
251	0.5987533602
