iter	Passed	Remaining
0	237	189468
1	275	109745
2	316	83980
3	393	78393
4	462	73608
5	504	66797
6	539	61107
7	583	57783
8	640	56308
9	693	54779
10	726	52104111	789	51827
12	859	52054
13	888	49868114	927	48530115	1005	49251616	1049	483117	1132	49214
18	1171	48167
19	1204	46987
20	1249	46333
2121	1286	45492222	1334	45072323	1392	45022424	1437	44562525	1482	44132626	1534	43932727	1562	43082828	1619	43062929	1658	42573030	1694	42033131	1748	41973232	1791	41643333	1843	41523434	1881	41113535	1910	40533636	1950	40223737	2002	40153838	2038	39783939	2078	39494040	2122	39294141	2165	39084242	2226	39194343	2291	39377
44	2318	38904545	2365	38774646	2402	38484747	2453	38434848	2503	38364949	2543	38155050	2586	37985151	2627	37795252	2678	37756
53	2717	37545454	2727	36945555	2779	36925656	2820	36765757	2876	36795858	2909	36545959	2936	36216060	2993	362761	3040	36186
6262	3082	36056363	3116	358464	3152	35646
65	3205	35653
6666	3255	35616767	3286	35376868	3314	35116969	3363	35077070	3403	34957171	3453	34917
72	3501	34870
73	3531	34650
74	3563	34447575	3615	34444
76	3666	34423
77	3693	34186
78	3762	34347979	3789	34109
80	3823	33948181	3871	33901
82	3922	33888383	3983	33958
84	4023	33847
85	4056	33675
86	4104	33640
87	4150	33582
88	4203	33578
89	4235	33415
90	4311	33592
91	4370	33633
92	4400	33453
93	4460	33498
94	4521	33553
95	4574	33549
96	4604	33369
97	4644	33271
98	4699	33275
99	4744	33208
100	4799	33219
101	4837	33104
102	4875	32995
103	4922	32943
104	4949	32763
105	4986	32647
106	5040	32644
107	5086	32594
108	5135	32555
109	5181	32504
110	5227	32445
111	5267	32359
112	5312	32295
113	5366	32293
114	5429	32338
115	5507	32475
116	5569	32509
117	5650	32657
118	5679	325011119	5747	325712120	5789	324912121	5863	32587
122	5928	32631
123	5990	32657
124	6019	32503
125	6049	32360
126	6085	322512127	6147	32273
128	6184	321712129	6245	32187
130	6289	32117
131	6374	32260
132	6403	32113
133	6461	32116
134	6533	32183
135	6605	32250
136	6652	32196
137	6699	32140
138	6733	32021
139	6789	32005
140	6819	31871
141	6847	31728
142	6883	31624
143	6944	31636
144	7008	31660
145	7077	31702
146	7119	31626
147	7175	31612
148	7234	31610
149	7310	31678
150	7341	31552
151	7394	31523
152	7459	31546
153	7531	31592
154	7587	31573
155	7641	31547
156	7724	31637
157	7755	31512
158	7792	31416
159	7869	31479
160	7917	31424
161	7977	31415
162	8016	31329
163	8081	31339
164	8143	31338
165	8182	31250
166	8244	31251
167	8276	31134
168	8335	31123
169	8376	31043
170	8420	30971
171	8478	30955
172	8523	30891
173	8575	30851
174	8622	30794
175	8669	30739
176	8716	30681
177	8745	30560
178	8797	30521
179	8847	30476
180	8899	30435
181	8961	30428
182	9004	30358
183	9039	30261
184	9091	30222
185	9131	30144
186	9163	30039
187	9221	30018
188	9266	29957
189	9356	30038
190	9420	30035
191	9470	29991
192	9529	29970
193	9585	29943
194	9629	29876
195	9661	29773
196	9715	29738
197	9757	29667
